total_arrivals,total_exits,mean_delay,p95_delay,max_queue_N,max_queue_E,max_queue_S,max_queue_W,throughput_vph,avg_travel_time,total_co2,total_fuel,scenario_name,num_windows,simulation_duration,throughput_mean,throughput_std,throughput_cv,delay_trend,delay_max,max_queue_N_max,max_queue_N_trend,max_queue_E_max,max_queue_E_trend,max_queue_S_max,max_queue_S_trend,max_queue_W_max,max_queue_W_trend,total_queue_max,total_queue_mean,queue_growth_rate,failure_detected,failure_reasons,performance_class,throughput_rank,delay_rank,combined_score,overall_rank
1186.0,1163.0,18.2695163104612,47.0,5.0,3.0,5.0,5.0,1163.0,79.8945829750645,191513.69656629543,61900.15763560137,d45_l1_dm0.50,13,3600.0,1073.5384615384614,314.07412534785124,0.29255973269719593,-0.7102694667970629,29.775555555555552,5,-0.16483516483516492,3,-0.09890109890109884,5,0.03846153846153852,5,-0.03846153846153845,12,8.76923076923077,-0.26373626373626363,False,['none'],acceptable,28.0,3.0,31.0,19.0
1551.0,1462.0,139.43695501730105,247.19999999999985,25.0,9.0,24.0,25.0,1462.0,193.3860465116279,511340.7087658077,165392.5626416179,d45_l1_dm0.75,13,3600.0,1349.5384615384614,398.70726014200045,0.2954397162474924,-0.3113244449966525,157.14871794871797,25,-0.20329670329670277,9,0.0054945054945057135,24,-0.7417582417582408,25,-0.456043956043955,66,51.61538461538461,-1.3956043956043929,True,"['excessive_queue', 'excessive_delay']",failure,18.0,11.0,29.0,12.0
1628.0,1531.0,172.26054333764552,229.0,25.0,23.0,24.0,24.0,1531.0,226.8987589810581,613582.1861023695,198494.67938346163,d45_l1_dm1.00,13,3600.0,1413.2307692307693,419.67426083463897,0.2969608856330452,-1.7782594193204346,191.184375,25,-0.8021978021978021,23,-0.23076923076923092,24,-0.3076923076923068,24,-0.7142857142857139,85,61.92307692307692,-2.054945054945054,True,"['excessive_queue', 'excessive_delay']",failure,4.0,16.0,20.0,4.5
1613.0,1514.0,178.84747540983608,246.0,25.0,24.0,25.0,25.0,1514.0,232.2015852047556,619222.4124081926,200320.0052326761,d45_l1_dm1.25,13,3600.0,1397.5384615384614,417.78180086750393,0.298941182919284,-2.712594492610119,195.1696,25,-0.5934065934065933,24,-1.3021978021978013,25,-0.21978021978021967,25,-0.9230769230769222,81,64.38461538461539,-3.0384615384615365,True,"['excessive_queue', 'excessive_delay']",failure,8.0,24.0,32.0,21.0
1618.0,1519.0,178.45355048859935,254.6,25.0,24.0,25.0,25.0,1519.0,232.28979591836736,620583.1297619166,200765.94192998044,d45_l1_dm1.50,13,3600.0,1402.1538461538462,424.0511301090301,0.30242838991756593,-3.0920169931901533,199.48760330578517,25,-0.23626373626373603,24,-1.071428571428571,25,-1.1428571428571426,25,-1.1813186813186811,97,62.38461538461539,-3.631868131868132,True,"['excessive_queue', 'excessive_delay', 'unstable_throughput']",failure,7.0,23.0,30.0,15.5
1186.0,1164.0,18.82160427807487,52.400000000000006,6.0,4.0,12.0,3.0,1164.0,82.30807560137457,195918.88096985707,63326.60945946974,d45_l2_dm0.50,13,3600.0,1074.4615384615386,314.70831804035146,0.29289863506046454,-1.5098830927117788,46.84470588235294,6,-0.15934065934065936,4,-0.09340659340659346,12,-0.44505494505494486,3,-0.0659340659340658,24,9.076923076923077,-0.7637362637362644,False,['none'],poor,26.0,4.0,30.0,15.5
1547.0,1465.0,131.93736263736264,225.80000000000015,24.0,8.0,24.0,25.0,1465.0,187.3275085324232,496309.6321052911,160530.46460289808,d45_l2_dm0.75,13,3600.0,1352.3076923076924,402.9841349454734,0.2979973694136037,1.0377706963315372,158.78688524590166,24,0.10439560439560515,8,0.049450549450549525,24,-1.0054945054945053,25,0.54945054945055,67,46.61538461538461,-0.3021978021978012,True,"['excessive_queue', 'excessive_delay']",failure,16.0,8.0,24.0,8.0
1606.0,1502.0,171.8588778877888,247.6000000000001,25.0,25.0,25.0,25.0,1502.0,225.7559254327563,599738.8198213694,194020.27999261933,d45_l2_dm1.00,13,3600.0,1386.4615384615386,416.7464854514009,0.30058279576499175,-0.8439277173228663,194.8328125,25,-1.3516483516483513,25,0.04395604395604442,25,-0.824175824175823,25,0.06043956043956047,78,61.46153846153846,-2.07142857142857,True,"['excessive_queue', 'excessive_delay', 'unstable_throughput']",failure,12.5,15.0,27.5,10.0
1607.0,1503.0,177.3141914191419,234.6000000000004,24.0,26.0,25.0,24.0,1503.0,229.7831004657352,613223.730134663,198377.93272403412,d45_l2_dm1.25,13,3600.0,1387.3846153846155,414.8529931399312,0.29901801457191757,-2.880351824139479,194.3383333333333,24,-1.6208791208791193,26,0.34615384615384653,25,-0.8681318681318679,24,-0.13186813186813146,77,64.3076923076923,-2.274725274725271,True,"['excessive_queue', 'excessive_delay']",failure,11.0,20.0,31.0,19.0
1606.0,1502.0,178.24907651715037,249.39999999999984,23.0,25.0,25.0,24.0,1502.0,230.4190412782956,613877.2691141171,198590.35932114127,d45_l2_dm1.50,13,3600.0,1386.4615384615386,412.98176815496635,0.2978674537291701,-3.445762784770655,194.727868852459,23,0.09340659340659356,25,-1.186813186813187,25,-0.7912087912087907,24,-0.11538461538461481,82,64.3076923076923,-1.999999999999998,True,"['excessive_queue', 'excessive_delay']",failure,12.5,22.0,34.5,22.5
